nome_file,numero_post,numero_commenti
verovolley_post_comments.json,1350,45272
verovolley_alessiaorro8_post_comments.json,278,34130
pallavolisti_brutti_post_comments.json,23,801
maucolantoni_post_comments.json,7,31
verovolley_paolaegonu_post_comments.json,97,21289
giuliapisanireal_post_comments.json,0,0
dazn_it_post_comments.json,8,200
volleynews_official_post_comments.json,59,62
raisport_post_comments.json,1,0
racu7_post_comments.json,0,0
illoca71_post_comments.json,0,0
verovolley_miriamsylla_post_comments.json,143,11867
marcofantasia_post_comments.json,5,40
it_volleyball_post_comments.json,96,336
eurosportitalia_post_comments.json,78,5099
volleyballworld_post_comments.json,16,1025
andrea_lucky_lucchetta_post_comments.json,4,11
problemi_di_volley_post_comments.json,43,733
